Task,Model,P10_ Diane_Sheet1,P1_Parham_Sheet1,P2_Dipeeka_Sheet1,P3_MO_Sheet1,P4_Armina_Sheet1,P5_ Delaram_Sheet1,P6_ Baharin_Sheet1,P7_ Jia_Sheet1,P8_ Negin_Sheet1,P9_ Pouya_Sheet1
1,Claude,,3.0,4.0,,,5.0,5.0,,,
1,Llama,5.0,,,4.0,5.0,,,5.0,5.0,5.0
2,Claude,,5.0,5.0,,,4.0,4.0,,,
2,Llama,5.0,,,3.0,5.0,,,5.0,5.0,5.0
3,Claude,,3.0,4.0,,,5.0,5.0,,,
3,Llama,5.0,,,4.0,5.0,,,5.0,5.0,2.0
4,Claude,,4.0,5.0,,,4.0,4.0,,,
4,Llama,4.0,,,5.0,5.0,,,5.0,5.0,5.0
5,Claude,,4.0,5.0,,,5.0,3.0,,,
5,Llama,5.0,,,4.0,4.0,,,5.0,5.0,5.0
6,Claude,,5.0,5.0,,,5.0,4.0,,,
6,Llama,5.0,,,5.0,5.0,,,5.0,5.0,5.0
7,Claude,,5.0,4.0,2.0,4.0,,,5.0,5.0,
7,Llama,5.0,,,,,5.0,5.0,,,3.0
8,Claude,,5.0,5.0,5.0,5.0,,,5.0,5.0,
8,Llama,5.0,,,,,5.0,4.0,,,5.0
9,Claude,,5.0,5.0,5.0,5.0,,,5.0,5.0,
9,Llama,4.0,,,,,5.0,4.0,,,2.0
10,Claude,,4.0,5.0,4.0,4.0,,,5.0,5.0,
10,Llama,4.0,,,,,5.0,4.0,,,5.0
11,Claude,,5.0,5.0,4.0,5.0,,,4.0,5.0,
11,Llama,5.0,,,,,4.0,3.0,,,5.0
12,Claude,,4.0,5.0,4.0,5.0,,,5.0,5.0,
12,Llama,5.0,,,,,5.0,5.0,,,4.0
